Carrier,Order_Date,total_weight_tool,order_cost
Y,2015-04-06,8466.48,1015.98
Y,2014-11-10,8498.16,1019.78
Y,2015-06-08,8506.08,1020.73
Y,2015-07-06,8510.04,1021.2
Y,2014-09-15,8561.52,599.31
Y,2014-12-29,8609.04,1033.08
Y,2015-05-25,8627.52,603.93
Y,2015-05-11,8630.16,1035.62
Y,2015-03-30,8647.32,605.31
Y,2015-05-18,8751.6,1050.19
Y,2015-04-13,8780.64,614.64
Y,2015-04-13,8800.44,1056.05
Y,2015-06-15,8916.6,1069.99
Y,2015-03-23,8917.92,624.25
Y,2015-06-22,8962.8,1075.54
Y,2015-06-22,8965.44,627.58
Y,2014-11-17,9031.44,632.2
Y,2015-04-20,9105.36,637.38
Y,2015-07-13,9321.84,1118.62
Y,2014-12-22,9362.76,655.39
Y,2015-05-11,9463.08,662.42
Y,2014-09-01,9669,676.83
Y,2015-07-27,9725.76,680.8
Y,2015-04-06,10161.36,711.3
Y,2015-07-13,10375.2,726.26
Y,2014-12-29,10392.36,727.47
Y,2015-05-18,10557.36,739.02
Y,2015-06-15,10772.52,754.08
